# Nifty 500 stock -> Kite-supported sector index map
# Source: NSE archives ind_nifty500list.csv
# Retrieved: 2026-06-02
# Generated from the NSE Industry column and mapped only where this app has a clear Kite-supported sector index proxy.
# Unmapped NSE industries: Capital Goods, Chemicals, Consumer Services, Diversified, Services, Textiles.
# Those symbols still scan normally; they just skip the sector-strength filter.
symbol,sector_index
ICICIBANK,NIFTY FIN SERVICE
ICICIGI,NIFTY FIN SERVICE
ICICIAMC,NIFTY FIN SERVICE
ICICIPRULI,NIFTY FIN SERVICE
IDBI,NIFTY FIN SERVICE
IDFCFIRSTB,NIFTY FIN SERVICE
IFCI,NIFTY FIN SERVICE
IIFL,NIFTY FIN SERVICE
IRB,NIFTY INFRA
IRCON,NIFTY INFRA
ITC,NIFTY FMCG
ITI,NIFTY INFRA
INDGN,NIFTY HEALTHCARE
INDIACEM,NIFTY INFRA
INDIANB,NIFTY FIN SERVICE
IEX,NIFTY FIN SERVICE
IOC,NIFTY OIL AND GAS
IOB,NIFTY FIN SERVICE
IRFC,NIFTY FIN SERVICE
IREDA,NIFTY FIN SERVICE
IGL,NIFTY OIL AND GAS
INDUSTOWER,NIFTY INFRA
INDUSINDBK,NIFTY FIN SERVICE
INFY,NIFTY IT
INTELLECT,NIFTY IT
IKS,NIFTY IT
IPCALAB,NIFTY HEALTHCARE
JBCHEPHARM,NIFTY HEALTHCARE
JKCEMENT,NIFTY INFRA
JBMA,NIFTY AUTO
JKTYRE,NIFTY AUTO
JMFINANCIL,NIFTY FIN SERVICE
JSWCEMENT,NIFTY INFRA
JSWDULUX,NIFTY CONSR DURBL
JSWENERGY,NIFTY ENERGY
JSWSTEEL,NIFTY METAL
JAINREC,NIFTY METAL
JPPOWER,NIFTY ENERGY
J&KBANK,NIFTY FIN SERVICE
JSL,NIFTY METAL
JINDALSTEL,NIFTY METAL
JIOFIN,NIFTY FIN SERVICE
JUBLPHARMA,NIFTY HEALTHCARE
KPITTECH,NIFTY IT
KAJARIACER,NIFTY CONSR DURBL
KPIL,NIFTY INFRA
KALYANKJIL,NIFTY CONSR DURBL
KARURVYSYA,NIFTY FIN SERVICE
KEC,NIFTY INFRA
KFINTECH,NIFTY FIN SERVICE
KOTAKBANK,NIFTY FIN SERVICE
KIMS,NIFTY HEALTHCARE
LTF,NIFTY FIN SERVICE
LTTS,NIFTY IT
LGEINDIA,NIFTY CONSR DURBL
LICHSGFIN,NIFTY FIN SERVICE
LTFOODS,NIFTY FMCG
LTM,NIFTY IT
LT,NIFTY INFRA
LATENTVIEW,NIFTY IT
LAURUSLABS,NIFTY HEALTHCARE
LICI,NIFTY FIN SERVICE
LLOYDSME,NIFTY METAL
LODHA,NIFTY REALTY
LUPIN,NIFTY HEALTHCARE
MRF,NIFTY AUTO
MGL,NIFTY OIL AND GAS
M&MFIN,NIFTY FIN SERVICE
M&M,NIFTY AUTO
MANAPPURAM,NIFTY FIN SERVICE
MRPL,NIFTY OIL AND GAS
MANKIND,NIFTY HEALTHCARE
MARICO,NIFTY FMCG
MARUTI,NIFTY AUTO
MFSL,NIFTY FIN SERVICE
MAXHEALTH,NIFTY HEALTHCARE
MINDACORP,NIFTY AUTO
MSUMI,NIFTY AUTO
MOTILALOFS,NIFTY FIN SERVICE
MPHASIS,NIFTY IT
MCX,NIFTY FIN SERVICE
MUTHOOTFIN,NIFTY FIN SERVICE
NATCOPHARM,NIFTY HEALTHCARE
NBCC,NIFTY INFRA
NCC,NIFTY INFRA
NHPC,NIFTY ENERGY
NLCINDIA,NIFTY ENERGY
NMDC,NIFTY METAL
NSLNISP,NIFTY METAL
NTPCGREEN,NIFTY ENERGY
NTPC,NIFTY ENERGY
NH,NIFTY HEALTHCARE
NATIONALUM,NIFTY METAL
NAVA,NIFTY ENERGY
NESTLEIND,NIFTY FMCG
NETWEB,NIFTY IT
NEULANDLAB,NIFTY HEALTHCARE
NEWGEN,NIFTY IT
NAM-INDIA,NIFTY FIN SERVICE
NIVABUPA,NIFTY FIN SERVICE
NUVAMA,NIFTY FIN SERVICE
NUVOCO,NIFTY INFRA
OBEROIRLTY,NIFTY REALTY
ONGC,NIFTY OIL AND GAS
OIL,NIFTY OIL AND GAS
OLAELEC,NIFTY AUTO
OLECTRA,NIFTY AUTO
PAYTM,NIFTY FIN SERVICE
ONESOURCE,NIFTY HEALTHCARE
OFSS,NIFTY IT
POLICYBZR,NIFTY FIN SERVICE
PGEL,NIFTY CONSR DURBL
PNBHOUSING,NIFTY FIN SERVICE
PVRINOX,NIFTY MEDIA
PATANJALI,NIFTY FMCG
PERSISTENT,NIFTY IT
PETRONET,NIFTY OIL AND GAS
PFIZER,NIFTY HEALTHCARE
PHOENIXLTD,NIFTY REALTY
PINELABS,NIFTY FIN SERVICE
PIRAMALFIN,NIFTY FIN SERVICE
PPLPHARMA,NIFTY HEALTHCARE
POLYMED,NIFTY HEALTHCARE
POONAWALLA,NIFTY FIN SERVICE
PFC,NIFTY FIN SERVICE
POWERGRID,NIFTY ENERGY
PRESTIGE,NIFTY REALTY
PNB,NIFTY FIN SERVICE
RBLBANK,NIFTY FIN SERVICE
RECLTD,NIFTY FIN SERVICE
RITES,NIFTY INFRA
RADICO,NIFTY FMCG
RVNL,NIFTY INFRA
RAILTEL,NIFTY INFRA
RAINBOW,NIFTY HEALTHCARE
RKFORGE,NIFTY AUTO
RELIANCE,NIFTY OIL AND GAS
RPOWER,NIFTY ENERGY
SBFC,NIFTY FIN SERVICE
SBICARD,NIFTY FIN SERVICE
SBILIFE,NIFTY FIN SERVICE
SJVN,NIFTY ENERGY
SAGILITY,NIFTY IT
SAILIFE,NIFTY HEALTHCARE
SAMMAANCAP,NIFTY FIN SERVICE
MOTHERSON,NIFTY AUTO
SARDAEN,NIFTY METAL
SAREGAMA,NIFTY MEDIA
SCHAEFFLER,NIFTY AUTO
SHREECEM,NIFTY INFRA
SHRIRAMFIN,NIFTY FIN SERVICE
SIGNATURE,NIFTY REALTY
SOBHA,NIFTY REALTY
SONACOMS,NIFTY AUTO
SONATSOFTW,NIFTY IT
STARHEALTH,NIFTY FIN SERVICE
SBIN,NIFTY FIN SERVICE
SAIL,NIFTY METAL
SUNPHARMA,NIFTY HEALTHCARE
SUNTV,NIFTY MEDIA
SUNDARMFIN,NIFTY FIN SERVICE
SYNGENE,NIFTY HEALTHCARE
TVSMOTOR,NIFTY AUTO
TATACAP,NIFTY FIN SERVICE
TATACOMM,NIFTY INFRA
TCS,NIFTY IT
TATACONSUM,NIFTY FMCG
TATAELXSI,NIFTY IT
TATAINVEST,NIFTY FIN SERVICE
TMPV,NIFTY AUTO
TATAPOWER,NIFTY ENERGY
TATASTEEL,NIFTY METAL
TATATECH,NIFTY IT
TTML,NIFTY INFRA
TECHM,NIFTY IT
TECHNOE,NIFTY INFRA
TEJASNET,NIFTY INFRA
TENNIND,NIFTY AUTO
NIACL,NIFTY FIN SERVICE
RAMCOCEM,NIFTY INFRA
